Time,Cwnd
0.00987488,9595
0.00999489,11347
0.0162498,13112
0.0163725,14877
0.0164951,16642
0.0166178,18408
0.0167444,20185
0.016867,21950
0.0226236,23715
0.0227462,25480
0.0228689,27246
0.0229915,29011
0.0231142,30776
0.0232368,32541
0.0233594,34306
0.0234821,36072
0.0236047,37837
0.0237274,39602
0.02385,41367
0.0239726,43132
0.0289986,44898
0.0291212,46663
0.0292478,48440
0.0293705,50205
0.0294931,51970
0.0296158,53736
0.0297423,55512
0.0298649,57276
0.0299875,59041
0.0301102,60806
0.0302328,62571
0.0303554,64336
0.0304781,66102
0.0306007,67867
0.0307234,69632
0.030846,71397
0.0309686,73162
0.0310913,74928
0.0312139,76693
0.0313366,78458
0.0314592,80223
0.0315818,81988
0.0317045,83754
0.0318271,85519
0.0353723,87296
0.035495,89061
0.0356176,90826
0.0357402,92592
0.0358668,94368
0.0359894,96132
0.036112,97897
0.0362346,99662
0.0363573,101427
0.0364799,103192
0.0366026,104958
0.0367252,106723
0.0368478,108488
0.0369705,110253
0.0370931,112018
0.0372158,113784
0.0373384,115549
0.037461,117314
0.0375877,119091
0.0377103,120856
0.037833,122622
0.0379556,124387
0.0380782,126152
0.0382009,127917
0.0383235,129682
0.0384462,131448
0.0385727,133224
0.0386953,134988
0.0388179,136753
0.0389406,138518
0.0390632,140283
0.0391858,142048
0.0393085,143814
0.0394311,145579
0.0395538,147344
0.0396764,149109
0.039799,150874
0.0399217,152640
0.0400443,154405
0.040167,156170
0.0402936,157947
0.0404162,159712
0.0405389,161478
0.0406615,163243
0.0407842,165008
0.0409068,166773
0.0410294,168538
0.041152,170302
0.0417499,172077
0.0418724,173840
0.041995,175604
0.0421176,177369
0.0422403,179134
0.0423629,180900
0.0424855,182665
0.0426082,184430
0.0427308,186195
0.0428535,187960
0.0429801,189738
0.0431027,191503
0.0432254,193268
0.043348,195033
0.0434706,196798
0.0435933,198564
0.0437161,200331
0.0438389,202099
0.0439617,203866
0.0440845,205634
0.0442114,207415
0.0443341,209181
0.0444569,210949
0.0445797,212716
0.0447025,214484
0.0448253,216252
0.0449481,218019
0.0450709,219787
0.0451937,221554
0.0453165,223322
0.0454393,225090
0.0455621,226857
0.0456891,228639
0.0458119,230407
0.0459347,232174
0.0460574,233942
0.0461802,235710
0.046303,237477
0.0464258,239245
0.0465486,241012
0.0466715,242780
0.0467943,244548
0.0469211,246328
0.0470438,248095
0.0471666,249862
0.0472894,251630
0.0474123,253398
0.0475351,255165
0.0476579,256933
0.0477807,258700
0.0479035,260468
0.0480262,262236
0.0481532,264018
0.048276,265785
0.0483988,267553
0.0485216,269320
0.0486444,271088
0.0487672,272856
0.04889,274623
0.0490128,276391
0.0491356,278158
0.0492584,279926
0.0493812,281694
0.049504,283461
0.0496309,285242
0.0497536,287008
0.0498764,288776
0.0499992,290544
0.050122,292311
0.0502448,294079
0.0503676,295846
0.0504904,297614
0.0506174,299396
0.0507402,301164
0.050863,302931
0.0509858,304699
0.0511086,306466
0.0512314,308234
0.0513542,310002
0.051477,311769
0.0515998,313537
0.0517226,315304
0.0518454,317072
0.0519682,318840
0.052091,320607
0.0522138,322375
0.0523407,324156
0.0524634,325922
0.0525862,327690
0.052709,329457
0.0528318,331225
0.0529545,332991
0.0530814,334772
0.0532041,336538
0.0533268,338305
0.0534496,340072
0.0535724,341840
0.0536952,343608
0.053818,345375
0.0539408,347143
0.0540636,348910
0.0541864,350678
0.0543092,352446
0.054432,354213
0.0545548,355981
0.0546776,357748
0.0548004,359516
0.0549232,361284
0.0550501,363064
0.0551728,364831
0.0552956,366598
0.0554184,368366
0.0555454,370148
0.0556682,371916
0.055791,373683
0.0559138,375451
0.0560366,377218
0.0561594,378986
0.0562822,380754
0.056405,382521
0.0565278,384289
0.0566506,386056
0.0567734,387824
0.0568962,389592
0.057019,391359
0.0571418,393127
0.0572646,394894
0.0573874,396662
0.0575102,398430
0.057633,400197
0.0577599,401978
0.0578826,403744
0.0580095,405526
0.0581323,407294
0.0582551,409062
0.058378,410829
0.0586211,412597
0.0587439,414364
0.0588668,416132
0.0589897,417900
0.0591126,419667
0.0592355,421435
0.0594827,423217
0.0596056,424984
0.0597285,426752
0.0598514,428520
0.0599742,430287
0.0600971,432055
0.06022,433822
0.060463,435590
0.0605859,437358
0.0607088,439125
0.0609561,440907
0.061079,442675
0.061322,444442
0.0614449,446210
0.0615677,447976
0.0616905,449743
0.0618134,451510
0.0619362,453278
0.0620591,455046
0.0623064,456828
0.0624293,458595
0.0625522,460363
0.062675,462130
0.0627979,463898
0.0629208,465666
0.0630437,467433
0.0631666,469201
0.0634096,470968
0.0635325,472736
0.0637798,474518
0.0640228,476286
0.0641457,478053
0.0642686,479821
0.0643915,481588
0.0645143,483356
0.0646372,485124
0.0647601,486891
0.064883,488659
0.0650059,490426
0.0652531,492208
0.065376,493976
0.0654989,495744
0.0656218,497511
0.0657447,499279
0.0658675,501046
0.0659904,502814
0.0661133,504582
0.0663563,506349
0.0664792,508117
0.0668466,509899
0.0669695,511666
0.0670924,513434
0.0673355,515202
0.0674583,516969
0.0675812,518737
0.067704,520503
0.0678268,522270
0.0679497,524037
0.068197,525819
0.0683199,527587
0.0684427,529354
0.0685656,531122
0.0686885,532890
0.0688114,534657
0.0689343,536425
0.0691773,538192
0.0693002,539960
